Activity ID;Activity Name;Description HrRest;Begin Timestamp;Begin Timestamp (Raw Milliseconds);End Timestamp;End Timestamp (Raw Milliseconds);Device;Activity Parent;Activity Type;Event Type;Activity Time Zone;Max. Elevation;Max. Elevation (Raw);Begin Latitude (Decimal Degrees Raw);Begin Longitude (Decimal Degrees Raw);End Latitude (Decimal Degrees Raw);End Longitude (Decimal Degrees Raw);Average Moving Speed;Average Moving Speed (Raw);Max. Heart Rate (bpm);Average Heart Rate (bpm);Max. Speed;Max. Speed (Raw);Calories;Calories (Raw);Duration (h:m:s);Duration (Raw Seconds);Moving Duration (h:m:s);Moving Duration (Raw Seconds);Average Speed;Average Speed (Raw);Distance;Distance (Raw);Min. Heart Rate (bpm);Min. Elevation;Min. Elevation (Raw);Elevation Gain;Elevation Gain (Raw);Elevation Loss;Elevation Loss (Raw);VO2Max;TrainingEffect
"2104374361";"Jankowice Biegi";"";"So, paź 14, 2017 10:10";"1507968629000";"So, paź 14, 2017 10:58";"1507971530000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.91";"51.015315391123295";"17.169809471815825";"51.01554103195667";"17.169941067695618";"06:02";"6.032745685071335";"150";"132";"04:25";"4.410337780679936";"421";"421.0003770865056";"00:48:21";"2900.901";"00:48:20";"2900.0";"06:02 Minuty na kilometr";"6.034274496832077";"8.01 Kilometry";"8.01183";"80";"122 Metry";"121.91";"3 Metry";"2.97";"4 Metry";"4.01";"2.40";"51.0"
"2094644227";"Jankowice Biegi";"";"Cz, paź 12, 2017 16:56";"1507820196000";"Cz, paź 12, 2017 17:39";"1507822741000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.68";"51.0153756570071";"17.169948359951377";"51.01556969806552";"17.169994292780757";"05:54";"5.907645551335779";"150";"130";"04:08";"4.125412580207591";"379";"378.9958043159699";"00:42:25";"2544.934";"00:42:24";"2544.0";"05:55 Minuty na kilometr";"5.910165624543541";"7.18 Kilometry";"7.17714";"77";"122 Metry";"121.68";"1 Metry";"0.62";"2 Metry";"2.24";"2.70";"50.0"
"2079202649";"Gajków Biegi";"";"Wt, paź 10, 2017 8:28";"1507616919000";"Wt, paź 10, 2017 8:49";"1507618193000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.5";"51.03558065369725";"17.157254302874207";"51.0155828576535";"17.16990787535906";"05:59";"5.975531475268878";"152";"142";"02:14";"2.2254863152274647";"217";"216.94407186600543";"00:21:14";"1273.836";"00:21:14";"1274.0";"05:58 Minuty na kilometr";"5.973715732812127";"3.55 Kilometry";"3.55338";"101";"122 Metry";"121.5";"";"";"";"";"2.60";"50.0"
"2079202622";"Gajków Biegi";"";"Wt, paź 10, 2017 8:21";"1507616481000";"Wt, paź 10, 2017 8:27";"1507616861000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"120 Metry";"119.98";"51.03606428951025";"17.157193031162024";"51.036140732467175";"17.15713184326887";"06:59";"6.979166666666666";"169";"126";"02:57";"2.952465318508498";"47";"47.01648202156554";"00:06:19";"379.118";"00:05:35";"335.0";"07:54 Minuty na kilometr";"7.8988945475325485";"0.80 Kilometry";"0.8";"97";"120 Metry";"119.98";"";"";"";"";"1.40";""
"2079202605";"Jankowice Biegi";"";"Wt, paź 10, 2017 7:56";"1507615009000";"Wt, paź 10, 2017 8:17";"1507616263000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.6";"51.015561232343316";"17.170273661613464";"51.03550538420677";"17.15744197368622";"05:50";"5.833529061574694";"146";"135";"02:10";"2.167880622836476";"200";"199.99904535061887";"00:20:54";"1254.014";"00:20:53";"1253.0";"05:50 Minuty na kilometr";"5.837711578045939";"3.58 Kilometry";"3.57988";"84";"122 Metry";"121.6";"";"";"2 Metry";"2.0";"2.40";"51.0"
"2075413419";"Jankowice Biegi";"";"Pn, paź 9, 2017 17:58";"1507564700000";"Pn, paź 9, 2017 18:32";"1507566772000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.68";"51.01545302197337";"17.169960597530007";"51.0153843741864";"17.170130582526326";"05:51";"5.853057936205406";"151";"129";"02:27";"2.44343445599203";"326";"326.012763662226";"00:34:32";"2071.66";"00:34:32";"2072.0";"05:51 Minuty na kilometr";"5.8520598231940975";"5.90 Kilometry";"5.90005";"80";"122 Metry";"121.68";"2 Metry";"2.02";"4 Metry";"4.46";"2.70";"50.0"
"2075413356";"Głęboczek Biegi";"";"N, paź 8, 2017 10:25";"1507451140000";"N, paź 8, 2017 11:05";"1507453551000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"29 Metry";"28.56";"52.83405628055334";"15.720182955265045";"52.83552068285644";"15.719406371936202";"05:38";"5.640648858385963";"150";"135";"05:10";"5.163155839757205";"406";"405.9646493334161";"00:40:11";"2410.825";"00:40:10";"2410.0";"05:39 Minuty na kilometr";"5.6420672607276385";"7.12 Kilometry";"7.12093";"77";"29 Metry";"28.56";"4 Metry";"3.8";"4 Metry";"3.8";"3.10";"50.0"
"2048406774";"Jankowice Biegi";"";"Cz, paź 5, 2017 18:08";"1507219715000";"Cz, paź 5, 2017 18:59";"1507222758000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"124 Metry";"124.0";"51.01527465507388";"17.170180371031165";"51.01532435975969";"17.170231333002448";"05:51";"5.853807212245595";"155";"142";"01:29";"1.4835914510464878";"490";"489.9737948744875";"00:50:43";"3042.527";"00:50:28";"3028.0";"05:51 Minuty na kilometr";"5.858230755381842";"8.62 Kilometry";"8.62117";"83";"124 Metry";"124.0";"3 Metry";"3.44";"2 Metry";"2.0";"3.30";"50.0"
"2042571225";"Siechnice Biegi";"";"Śr, paź 4, 2017 17:03";"1507129437000";"Śr, paź 4, 2017 17:52";"1507132361000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"122 Metry";"121.94";"51.01548126898706";"17.169982809573412";"51.016288697719574";"17.16848605312407";"05:29";"5.491512397863634";"164";"139";"03:02";"3.032508594160057";"450";"450.11718321153603";"00:48:45";"2924.501";"00:43:51";"2631.0";"05:30 Minuty na kilometr";"5.493298321268074";"7.99 Kilometry";"7.98505";"79";"122 Metry";"121.94";"4 Metry";"4.06";"7 Metry";"6.55";"3.40";"50.0"
"2038518093";"Siechnice Biegi";"";"Wt, paź 3, 2017 20:35";"1507055754000";"Wt, paź 3, 2017 21:07";"1507057670000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"124 Metry";"124.0";"51.015349086374044";"17.16979463584721";"51.01529309526086";"17.16973939910531";"05:38";"5.636898224120343";"150";"141";"04:00";"3.9958443182507137";"311";"310.9770359091365";"00:31:55";"1915.406";"00:31:39";"1899.0";"05:39 Minuty na kilometr";"5.643977744370291";"5.61 Kilometry";"5.61479";"80";"124 Metry";"124.0";"2 Metry";"2.43";"2 Metry";"1.51";"3.00";"50.0"
"2028338141";"Srebrna Góra Biegi";"";"N, paź 1, 2017 9:41";"1506843697000";"N, paź 1, 2017 10:12";"1506845537000";"Garmin Forerunner 620 3.30.0.0";"Dowolny typ aktywności";"Biegi";"Bez kategorii";"(GMT+01:00) Czas środkowoeuropejski";"319 Metry";"319.23";"50.50971639342606";"16.729473983868957";"50.50977406091988";"16.729527041316032";"05:45";"5.753812111234586";"164";"138";"03:57";"3.9429064902117337";"324";"324.1034648999289";"00:30:39";"1839.462";"00:30:40";"1840.0";"05:45 Minuty na kilometr";"5.753077748952292";"5.33 Kilometry";"5.3298";"80";"319 Metry";"319.23";"87 Metry";"86.83";"89 Metry";"88.53";"3.40";"50.0"
